idna_subject,checker_type,destination,tested_at
fairu-blog.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:24.553699
membershipsgarenavn-ff.com,AVAILABILITY,origin.list,2023-03-06 06:41:25.374554
sacombank.vn-vp.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:25.757312
cettiarl.com,AVAILABILITY,origin.list,2023-03-06 06:41:25.879385
privatproxy-chat.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:25.914473
m.hi1222.com,AVAILABILITY,origin.list,2023-03-06 06:41:26.438967
scb.com.vn-scl.life,AVAILABILITY,origin.list,2023-03-06 06:41:26.915180
vongquay-pubg-vng.com,AVAILABILITY,origin.list,2023-03-06 06:41:27.115461
bluvenie.com,AVAILABILITY,origin.list,2023-03-06 06:41:27.398316
acb.vn-ol.top,AVAILABILITY,origin.list,2023-03-06 06:41:27.667122
lienkettaikhoan.com,AVAILABILITY,origin.list,2023-03-06 06:41:28.089659
scb.com.vn-ub.info,AVAILABILITY,origin.list,2023-03-06 06:41:28.428030
nhanvimomo2021.weebly.com,AVAILABILITY,origin.list,2023-03-06 06:41:28.598599
vongquay-pubgmobilevn.com,AVAILABILITY,origin.list,2023-03-06 06:41:28.693357
vongquay-pubgmobilevn-zing.com,AVAILABILITY,origin.list,2023-03-06 06:41:28.982212
techcombank.vn-vp.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:29.742026
scb.com.vn-cr.life,AVAILABILITY,origin.list,2023-03-06 06:41:29.842708
vpbank.vn-cr.life,AVAILABILITY,origin.list,2023-03-06 06:41:30.131631
isacembank.com,AVAILABILITY,origin.list,2023-03-06 06:41:30.185981
sacombank.vn-ne.top,AVAILABILITY,origin.list,2023-03-06 06:41:31.099266
vongquay-lienquanmobile.site,AVAILABILITY,origin.list,2023-03-06 06:41:31.208743
scb.vn-vp.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:31.315130
techcombank.vn-ol.top,AVAILABILITY,origin.list,2023-03-06 06:41:31.491740
vongquay-pubgmobilevng.com,AVAILABILITY,origin.list,2023-03-06 06:41:32.350801
vietcombank.vn-cn.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:37.403253
defi.hsfdefi.com,AVAILABILITY,origin.list,2023-03-06 06:41:47.426427
www.vn-scl.life,AVAILABILITY,origin.list,2023-03-06 06:41:57.514646
gaerena.vn,AVAILABILITY,origin.list,2023-03-06 06:42:02.530245
ebank.wmxba.com,AVAILABILITY,origin.list,2023-03-06 06:42:32.883571
scb.com.vn-cn.xyz,AVAILABILITY,origin.list,2023-03-06 06:42:37.743638
free.sc0mvn.com,AVAILABILITY,origin.list,2023-03-06 06:42:42.889143
garean.vn,AVAILABILITY,origin.list,2023-03-06 06:43:08.056432
drakeesh.com,AVAILABILITY,origin.list,2023-03-06 06:43:13.008156
www.vn-ub.info,AVAILABILITY,origin.list,2023-03-06 06:43:23.206725
qualienquan.vn,AVAILABILITY,origin.list,2023-03-06 06:43:48.091222
lienquanmobilequatang.com,AVAILABILITY,origin.list,2023-03-06 06:43:53.317126
garenaj.vn,AVAILABILITY,origin.list,2023-03-06 06:44:08.393544
kaurroot.com,AVAILABILITY,origin.list,2023-03-06 06:44:23.402709
shopee.nhanqua.online,AVAILABILITY,origin.list,2023-03-06 06:44:28.559393
